site,till,amend,rep,landscape_position,dsrAB,gltA,mcrA,nirK,nirS,log_dsrAB,log_gltA,log_mcrA,sqrt_nirK,log_nirS,log_16S,pc1_values,pc1_values_trans
CREC,CT,A,3,NA,15816750.600263929,9195531.555877581,701391.0783427384,55085924.50436748,3926917.3904103553,16.576580100993276,16.03422822358051,13.477755174141521,7421.989255204259,15.18336529702881,11.669929213779893,-1.451624072,1.4516240720143332
CREC,CT,U,1,NA,10086441.62856547,3425187.469700358,42026.840119022796,34934810.85,1103204.5531243484,16.126702666954632,15.046666763859458,10.896841729914438,5910.567726448763,13.913729732650273,10.969920942840002,1.4386512630075048,-1.438651263
CREC,CT,U,2,NA,21500402.568672877,6666205.218528224,0,34627532.78019929,1296506.6875581637,16.883582217046918,15.712561323233766,9.390884516775554,5884.516359,14.075184042110426,11.532728092266408,1.110133115049673,-1.110133115
CREC,CT,U,3,NA,16453376.361738946,5252004.904872961,44129.91673181638,34595675.46259679,1416515.8457126245,16.61604126,15.474120448310131,10.935044497422936,5881.808859746871,14.163710784715112,11.48246625748552,0.7216693462031099,-0.721669346
CREC,MT,U,1,NA,17203241.50494854,5524270.719290928,45946.54563433461,20034830.945204046,641114.5902465294,16.660608383617436,15.524661800147355,10.966908417213487,4476.028479043006,13.370963487861028,10.643041105910228,1.1586339407033794,-1.158633941
CREC,MT,U,2,NA,21558733.49606064,6225634.264678734,26398.449178849758,34043000.086891666,1044938.6133294696,16.886291559054232,15.644185885032853,10.555217227410116,5834.637956796605,13.85946869843021,11.736069016284437,0.6902532860745201,-0.690253286
CREC,MT,U,3,NA,17627447.161527462,18549498.243822746,58034.979885644265,41438060.40432918,1030527.6802123748,16.684967743068498,16.735953297801366,11.156445786046675,6437.240123246078,13.84558154,11.314474526246391,-0.381557389,0.3815573887048859
CREC,NT,A,1,NA,18585776.88371125,23288202.360312887,784857.2045470831,73895257.48945434,2519156.5053223073,16.73790716,16.963457453837073,13.58840403261524,8596.235076442148,14.739434683346131,12.170445467887022,-2.414985593,2.414985593149836
CREC,NT,A,2,NA,27650857.05220229,17932680.70656423,516817.63030098146,39819461.81737088,2895960.8594451547,17.13516728191525,16.70213534397443,13.178358608911783,6310.266382441464,14.87882751701145,11.805595078933049,-1.851016896,1.8510168959739617
CREC,NT,A,3,NA,15294465.65820857,8250080.380595718,205972.91342623945,49679103.78031251,2400226.362419593,16.54300159923988,15.925733501365912,12.292028314493065,7048.340498323879,14.691073608545372,10.938449814127782,-0.584190541,0.5841905414540055
CREC,NT,U,1,NA,18266506.34004232,2428176.0693711843,37526.357435736485,28199953.9,772601.4766,16.720579686206634,14.702650944747832,10.809829911757074,5310.362878048994,13.55751864044483,11.522875795823397,1.5681074829153008,-1.568107483
CREC,NT,U,2,NA,13093411.469187783,4872466.235255126,31123.683000528337,28547929.924622543,536615.2241470403,16.387619720370616,15.39911078068466,10.67133333,5343.026288969814,13.19303658807146,10.753638481905739,1.4340637615145888,-1.434063762
CREC,NT,U,3,NA,10928532.291653484,10376586.216317449,51882.931081587245,42444653.19334106,1821422.048608914,16.20688756857915,16.15506250071456,11.064473850875915,6514.956115995031,14.415128099351094,11.472103470449973,0.22605696428923178,-0.226056964
CREC,UN,U,1,NA,32581175.27942858,33560463.244772896,161979.52291641178,86283209.91952653,1429231.0845565745,17.29924523413482,17.328859242947537,12.066570393701873,9288.875600390315,14.172647154514642,12.220961258023925,-2.334621419,2.334621418509636
CREC,UN,U,2,NA,19268649.498617724,9634324.749308862,41289.963211323695,36419864.98639833,1217524.5562313395,16.773989954832263,16.08084277427232,10.883103317281018,6034.887321764867,14.012330303124672,11.911701584927597,0.20621574331326506,-0.206215743
CREC,UN,U,3,NA,46666535.68,28108448.232874613,126976.38777012857,82209071.56912169,976741.4443856044,17.658537884962982,17.15158073797491,11.841905978368564,9066.921835392743,13.791977253611593,12.916568464424731,-2.182840812,2.182840811813922
GR,NT,U,1,C,30723933.772599887,16563108.330084713,94826.95608827125,54367454.823942184,13338991.82308349,17.24055251053921,16.622688390399812,11.578766070105923,7373.428973275743,16.406202020114783,10.924138299734526,-1.772483111,1.772483111158168
GR,NT,U,1,S,18019115.319083963,20279139.95,29319.23848528916,43368040.259490214,3787068.304,16.70694371454884,16.825103327125507,10.62856762,6585.441538688975,15.147102743254111,11.418614785498987,-0.612476368,0.6124763684607935
GR,NT,U,2,C,10697800.56495816,5212961.3802724285,49647.251240689795,29256415.91,4787413.512495087,16.18554872362607,15.466658655372989,11.028838184910942,5408.9200317338955,15.381500847032681,11.14041145700175,0.725209837,-0.725209837
GR,NT,U,2,F,5744663.516998818,10826932.159078382,25206.176656219297,36959289.259875044,1348237.3560303347,15.563781897836721,16.197547306371344,10.523657147174786,6079.415207063509,14.114308635095298,10.769537067973536,1.0434514794066205,-1.043451479
GR,NT,U,2,S,27965492.373841383,15557676.485490346,204800.82209536948,55691451.62242503,7784826.570876617,17.146481892871364,16.560064739438964,12.286636042676967,7462.670542267361,15.867687085658048,11.925035115797062,-1.860649605,1.860649604514483
GR,NT,U,3,C,6511385.421218053,6114500.976496191,83097.68061363992,33983230.579309456,11224388.20229017,15.689062805862207,15.626173717313273,11.462435748823392,5829.5137515327515,16.23359948697051,10.524064040261237,0.40599810120695584,-0.405998101
GR,NT,U,3,S,21917133.315542832,14444323.498913601,132901.76584956824,32817409.725134615,2739641.664442854,16.902779232091298,16.485812057896446,11.883664238946384,5728.6481586090285,14.823337690411464,10.671278276091838,-0.801754846,0.8017548463628669
SM,CT,A,1,NA,4852366.038560432,7751654.746600291,0,2838634.1325578527,4512700.415861202,15.394976986959106,15.863416894228658,9.390884516775554,1684.8246592918365,15.32240629412427,10.718852365820323,2.5126103824433232,-2.512610382
SM,CT,A,2,NA,5545649.978263004,8214874.912855526,75567.09860490247,2547342.517487841,4655908.333398829,15.528524390700085,15.92145708266144,11.37991723381462,1596.0396353123067,15.353647580355709,10.210972252284089,1.4710831691566115,-1.471083169
SM,CT,A,3,NA,5118730.930821519,6678725.119262363,45093.58200961815,4838419.475086055,4289984.018212321,15.448417101218144,15.714437676888746,10.95207367366557,2199.6407604620476,15.271793565538827,10.225571051705241,1.7696558040855823,-1.769655804
SM,CT,U,1,NA,7647802.175071231,7506611.981069916,51769.73780048219,5224037.178048656,811843.6155075614,15.849928867148611,15.831294787603719,11.06269980076334,2285.6152734107845,13.607063008856189,9.957975737820197,1.8166830543616004,-1.816683054
SM,CT,U,2,NA,3204088.511802951,7012722.025832874,87054.48032068396,1874089.5069036128,3530542.813005516,14.979938212195476,15.763236489749719,11.503210126743038,1368.9738883205964,15.076962188477536,10.38591370178042,2.015681509203401,-2.015681509
SM,NT,A,2,NA,12694873.359902257,11108014.189914474,46385.11419964286,6335230.070951222,4809403.946,16.356708797482522,16.2231774,10.974451185564408,2516.9882937652337,15.386083714645038,10.890236748058845,0.6902556021851931,-0.690255602
SM,NT,A,3,NA,5078423.247063362,4241977.065194102,0,2043318.5299949055,1242720.0416343284,15.44051139,15.260540007490098,9.390884516775554,1429.4469315070446,14.032813117156055,10.34656952,3.340505791777772,-3.340505792
SM,NT,U,2,NA,4267110.143503681,2791909.208178123,0,3876974.3589547733,1779994.5170043928,15.266447374704036,14.842236223774815,9.390884516775554,1969.0033923167257,14.392120841928913,10.295529640312152,3.547945891380953,-3.547945891
SM,NT,U,3,NA,6129473.624,7815078.871084984,39228.63119603443,1740770.5093240277,4695176.796275371,15.62861943544575,15.87156561405614,10.84363779291525,1319.3826243073038,15.362046326204204,10.357742824813725,1.7463657975832805,-1.746365798
SM,UN,U,1,NA,3343686.1553924005,6133103.614755791,114468.53504946957,31930696.619062565,2861713.3762367386,15.022584395729744,15.629211479093778,11.747580306815557,5650.725317962515,14.866931086017951,10.49819466028282,1.1293504684983873,-1.129350468
SM,UN,U,2,NA,10373517.156144142,8994310.897884067,62476.864690413575,31768896.290691428,707285.2606461914,16.154766689157327,16.012102812969534,11.217957645005466,5636.390360034641,13.469189343907177,11.113939322959773,0.7441352726139759,-0.744135273
SM,UN,U,3,NA,23947787.698122766,8250075.552547004,201236.64531668604,43883380.59865428,814977.0682607223,16.991386505868775,15.925732916153416,12.270057897939791,6624.453230165814,13.610915254723736,10.554509806795402,-0.476761288,0.47676128840693044
WO,CT,U,1,NA,16263122.254052153,11141452.409865579,84956.60878982468,49760299.43404017,3034164.5996365957,16.604410664194766,16.22618316,11.481799012141536,7054.098059570774,14.925446689112055,11.181639755036315,-0.536884432,0.5368844318481593
WO,CT,U,2,NA,18577307.263058677,14469530.004891662,173080.5024508572,60001240.85,6692446.094766479,16.737451354208694,16.48755561742305,12.128431012078257,7746.046788499957,15.716489999770651,11.080602902692181,-1.482989575,1.4829895751679627
WO,CT,U,3,NA,11493063.80141535,9697455.360176412,107619.52872572133,42696878.24,5497954.184900982,16.257254263663718,16.087374075055596,11.69189322679011,6534.284830373083,15.519886614624406,10.404262840448617,-0.361053821,0.36105382066832387
WO,NT,U,1,NA,17116850.842402246,26814230.216995154,439961.6414244835,84608007.96624684,12561035.028835109,16.655573965636343,17.104443282808106,13.021305439977441,9198.261138185133,16.346110122363463,11.086747315264523,-2.77840444,2.7784044395287033
WO,NT,U,2,NA,17193268.630963694,27606093.294786777,194937.76405529262,57512694.36413912,18101363.80513431,16.660028506517992,17.13354707787117,12.240070387180031,7583.712439441459,16.711497841747473,10.664293381569887,-2.20286856,2.2028685602873828
WO,NT,U,3,NA,20871481.487734057,30887393.580985755,164932.68417031228,50259487.03080788,5937576.630131242,16.85389426,17.245858683898263,12.083404175256211,7089.392571356722,15.596811633369118,10.847393451443256,-1.924013352,1.924013352112179
WO,UN,U,1,NA,52855949.92967278,10833976.629652703,84808.41683631112,103920172.74308546,8241944.734796435,17.783080845394466,16.198197738067574,11.48026907055382,10194.12442258213,15.924746885543742,12.345834587905333,-2.230807676,2.2308076756116484
WO,UN,U,3,NA,32012255.143686984,37557685.16857764,277901.6637473614,99880756.7,7940047.535638897,17.281629360688687,17.441388580175552,12.577223543545923,9994.036056484621,15.887429820061682,11.820410164718188,-3.270733268,3.2707332679358205