site,till,amend,field_rep,ox_en,volume_cm3,moist_soil_g,vwc_probe,landscape_position,dry_mass_g,rock_mass_2_mm,plant_mass_2_mm,mass_water_g,bd,vwc,gwc
CREC,MT,U,1,O,298.5267113102908,451.75,0.075,NA,420,7.54,0.64,23.569999999999993,1.4069092784244992,0.07895440879158437,0.0561190476190476
CREC,NT,U,1,O,298.5267113102908,459.75,0.078,NA,419,1.26,0.27,39.22000000000003,1.4035594944282503,0.13137852833287833,0.09360381861575186
CREC,CT,U,1,O,316.7681805578007,477.75,0.054,NA,446,1.77,1.06,28.920000000000016,1.4079696995280067,0.09129704867791474,0.0648430493273543
CREC,NT,A,1,O,306.63403097585075,460.75,0.075,NA,408,3,0.01,49.74000000000001,1.3305763835199766,0.1622129149908913,0.12191176470588237
CREC,CT,A,1,O,288.39256172834087,439.75,0.055,NA,404,1.41,0.07,34.26999999999998,1.400868308041033,0.11883108147664893,0.08482673267326728
CREC,MT,U,2,O,316.2614730787032,480.75,0.056,NA,440,0.98,1.12,38.64999999999998,1.3912538752088335,0.12220900517459406,0.08784090909090904
CREC,MT,U,1,A,300.04683374758326,471.75,0.075,NA,437,3.2,1.04,30.50999999999999,1.4564392982984438,0.10168412583772428,0.06981693363844392
CREC,NT,U,1,A,295.4864664357058,454.75,0.078,NA,413,3.97,0.25,37.52999999999997,1.3976951465215877,0.1270108930967437,0.09087167070217912
CREC,CT,U,1,A,304.10049358036326,450.75,0.054,NA,423,4.1,1.1,22.549999999999955,1.3909875482928662,0.07415311870922948,0.053309692671394696
CREC,NT,A,1,A,312.2078132459232,469.75,0.075,NA,417,11.26,0.03,41.460000000000036,1.3356488284664836,0.13279616409645192,0.09942446043165476
CREC,CT,A,1,A,314.7413506414107,471.75,0.055,NA,432,1.15,0.46,38.14000000000004,1.3725555892787147,0.12117886614604222,0.08828703703703714
CREC,MT,U,2,A,302.07366366397326,440.75,0.056,NA,402,0.56,1.29,36.89999999999998,1.3308012195567793,0.12215563433245057,0.09179104477611935
CREC,NT,U,2,O,308.66086089224075,475.75,0.081,NA,436,4.35,0.15,35.25,1.4125535668489426,0.11420301199868173,0.08084862385321102
CREC,CT,U,2,O,271.1645074390259,417.75,0.057,NA,384,4.35,0.56,28.839999999999975,1.4161145336704741,0.10635610195587615,0.07510416666666661
CREC,NT,A,2,O,299.5401262684858,461.75,0.095,NA,409,0.72,0.03,52,1.365426412464694,0.17359944608353078,0.1271393643031785
CREC,CT,A,2,O,312.2078132459232,483.75,0.058,NA,445,3.73,0.64,34.379999999999995,1.4253326826560795,0.11011896096565395,0.07725842696629212
CREC,MT,U,3,O,300.5535412266808,452.75,0.066,NA,415,1.07,0.72,35.95999999999998,1.3807855941614158,0.1196459035326373,0.0866506024096385
CREC,NT,U,3,O,300.04683374758326,461.75,0.066,NA,421,1.63,0.34,38.78000000000003,1.4031142896650912,0.12924648967508853,0.09211401425178153
CREC,NT,U,2,A,324.8755002233607,513.75,0.081,NA,472,8.99,0.17,32.589999999999975,1.452864250075759,0.10031535150417151,0.06904661016949148
CREC,CT,U,2,A,316.2614730787032,472.75,0.057,NA,439,2.48,0.46,30.810000000000002,1.3880919345833589,0.0974193906708731,0.07018223234624146
CREC,NT,A,2,A,290.92609912382835,444.75,0.095,NA,396,1.14,0.04,47.56999999999999,1.3611704181667403,0.16351231513179756,0.12012626262626262
CREC,CT,A,2,A,303.5937861012658,478.75,0.058,NA,433,4.18,0.13,41.44,1.4262479003953326,0.13649818243044476,0.09570438799076213
CREC,MT,U,3,A,293.96634399841327,450.75,0.066,NA,413,2.98,0.54,34.22999999999996,1.4049227349721003,0.11644190125446716,0.08288135593220329
CREC,NT,U,3,A,297.5132963520958,435.75,0.066,NA,391,1.51,0.43,42.81,1.314226976723979,0.14389272857686328,0.10948849104859336
CREC,CT,U,3,O,307.14073845494823,478.75,0.06,NA,435,1.56,0.1,42.089999999999975,1.4162888394038498,0.13703815459886898,0.09675862068965513
CREC,NT,A,3,O,303.0870786221683,450.75,0.081,NA,405,2.38,0.48,42.889999999999986,1.3362496409979836,0.14151048667260122,0.1059012345679012
CREC,CT,A,3,O,287.8858542492433,404.75,0.053,NA,369,4.05,0.22,31.47999999999996,1.28175801121694,0.10934889483227432,0.08531165311653106
CREC,UN,U,1,O,279.27182710458584,302.75,0.033,NA,286,0.29,2.11,14.349999999999966,1.0240918425792176,0.05138362916437671,0.050174825174825056
CREC,UN,U,2,O,263.05718777346596,347.75,0.039,NA,328,1.36,1.46,16.930000000000007,1.2468771630086006,0.06435862917602322,0.05161585365853661
CREC,UN,U,3,O,313.7279356832157,392.75,0.063,NA,362,0.13,0.99,29.629999999999995,1.1538660056257362,0.09444488880301259,0.08185082872928176
CREC,CT,U,3,A,291.9395140820233,443.75,0.06,NA,407,1.36,0.04,35.349999999999966,1.3941244003223534,0.12108672617050403,0.08685503685503676
CREC,NT,A,3,A,288.39256172834087,428.75,0.081,NA,387,1.88,0.45,39.420000000000016,1.341920879237326,0.13668868490836025,0.10186046511627912
CREC,CT,A,3,A,293.45963651931584,406.75,0.053,NA,369,4.76,0.35,32.639999999999986,1.2574131297123448,0.11122483618918946,0.08845528455284549
CREC,UN,U,1,A,293.45963651931584,332.75,0.033,NA,311,1.1,2.12,18.529999999999973,1.0597709575624368,0.06314326637823771,0.059581993569131755
CREC,UN,U,2,A,286.87243929104835,290.75,0.039,NA,273,0.58,2.67,14.5,0.9516424814968929,0.050545113486098706,0.05311355311355311
CREC,UN,U,3,A,306.63403097585075,390.75,0.063,NA,363,0.51,0.72,26.519999999999982,1.1838216353376263,0.08648746492879843,0.07305785123966937
GR,NT,U,1,O,286.87243929104835,521.75,0.279,C,415,0.25,0.16,106.33999999999997,1.4466360066711008,0.37068740469736106,0.25624096385542167
GR,NT,U,1,O,313.22122820411823,535.75,0.328,F,422,0.3,1.56,111.88999999999999,1.347290547385867,0.3572235529549873,0.26514218009478674
GR,NT,U,1,O,312.2078132459232,527.75,0.236,S,432,0.02,0.49,95.24000000000001,1.3836937503537672,0.3050532240363259,0.22046296296296297
WO,CT,U,1,O,292.4462215611208,499.75,0.101,NA,390,3.74,0.41,105.59999999999997,1.3335785222941943,0.3610920306519663,0.27076923076923065
WO,NT,U,1,O,311.19439828772823,558.75,0.255,NA,438,1.83,0.11,118.81,1.407480348007512,0.3817870779606678,0.2712557077625571
WO,UN,U,1,O,303.0870786221683,481.75,0.171,NA,394,15.76,0.28,71.71000000000004,1.2999564408721125,0.23659867100238383,0.18200507614213207
GR,NT,U,1,A,290.4193916447308,504.75,0.279,C,399,0.18,0.08,105.49000000000001,1.3738752007582729,0.36323332062152935,0.2643859649122807
GR,NT,U,1,A,304.10049358036326,528.75,0.328,F,421,0,0,107.75,1.3844107750148857,0.354323660351197,0.25593824228028506
GR,NT,U,1,A,330.44928249343315,517.75,0.236,S,419,0.23,0.25,98.26999999999998,1.2679706756764606,0.29738300309958415,0.23453460620525055
WO,CT,U,1,A,321.3285478696782,446.75,0.101,NA,374,9.49,2.89,60.370000000000005,1.1639177486081438,0.1878762419344215,0.16141711229946526
WO,NT,U,1,A,306.63403097585075,537.75,0.255,NA,405,2.25,0.23,130.26999999999998,1.3207927336411533,0.4248386899047729,0.3216543209876543
WO,UN,U,1,A,284.84560937465835,467.75,0.171,NA,375,14.47,0.31,77.96999999999997,1.3165026514653462,0.2737272312926747,0.20791999999999994
GR,NT,U,2,O,304.10049358036326,577.75,0.288,C,493,2.33,0.04,82.38,1.6211746130221822,0.27089729132001494,0.16709939148073022
GR,NT,U,2,O,306.63403097585075,582.75,0.287,F,491,3.78,0.18,87.79000000000002,1.6012573635007563,0.28630220762063424,0.17879837067209778
GR,NT,U,2,O,325.8889151815556,559.75,0.263,S,472,0.48,0.35,86.91999999999996,1.4483462861479797,0.266716650830471,0.18415254237288126
WO,CT,U,2,O,312.2078132459232,473.75,0.102,NA,396,13.2,0.41,64.13999999999999,1.2683859378242865,0.20544008599002453,0.16196969696969693
WO,NT,U,2,O,322.8486703069707,545.75,0.251,NA,432,16.79,0,96.95999999999998,1.338088212007335,0.30032646536164626,0.22444444444444442
WO,UN,U,2,O,277.2449971881959,429.75,0.144,NA,337,0.33,0.68,91.74000000000001,1.2155314015323493,0.3308986669928123,0.2722255192878339
GR,NT,U,2,A,288.8992692074383,533.75,0.288,C,435,0.48,0.21,98.06,1.5057151276061451,0.3394262653173761,0.22542528735632184
GR,NT,U,2,A,275.2181672718059,512.75,0.287,F,440,1.7,0.09,70.96000000000004,1.598731669357624,0.2578318164945842,0.16127272727272735
GR,NT,U,2,A,322.34196282787315,572.75,0.263,S,476,2.53,0.54,93.68,1.476692627370326,0.2906230364118743,0.19680672268907567
WO,CT,U,2,A,313.7279356832157,455.75,0.102,NA,381,20.67,0.3,53.77999999999997,1.214428033545319,0.17142241376395598,0.14115485564304456
WO,NT,U,2,A,299.5401262684858,522.75,0.251,NA,415,20.71,0,87.04000000000002,1.3854571177820245,0.2905787651367408,0.20973493975903618
WO,UN,U,2,A,287.8858542492433,468.75,0.144,NA,373,1.32,0.32,94.11000000000001,1.2956524070024895,0.32690039684451555,0.25230563002680967
GR,NT,U,3,O,286.3657318119508,539.75,0.251,C,435,1.28,0.14,103.33000000000004,1.519036503591336,0.36083228026688,0.23754022988505757
GR,NT,U,3,O,308.15415341314326,563.75,0.264,F,459,4.66,0.02,100.07,1.4895142412200988,0.3247400656185082,0.21801742919389977
GR,NT,U,3,O,305.11390853855823,556.75,0.226,S,474,0.94,0.84,80.97000000000003,1.5535181672653873,0.2653762995853976,0.17082278481012667
WO,CT,U,3,O,342.6102619917731,507.75,0.095,NA,419,15.73,0.04,72.97999999999996,1.222963951996456,0.21301171650764036,0.17417661097852022
WO,NT,U,3,O,295.9931739148033,547.75,0.199,NA,439,27.13,0,81.62,1.4831423109992354,0.2757496023320219,0.1859225512528474
WO,UN,U,3,O,290.92609912382835,463.75,0.175,NA,358,2.21,0.45,103.09000000000003,1.2305530548073056,0.3543511575980033,0.2879608938547487
GR,NT,U,3,A,297.0065888729983,514.75,0.251,C,419,0.51,0.08,95.160000000000025,1.410743113780438,0.32039693247576734,0.22711217183770888
GR,NT,U,3,A,288.8992692074383,515.75,0.264,F,428,1.96,0.16,85.63,1.4814852290009888,0.29640088822279126,0.2000700934579439
GR,NT,U,3,A,327.91574509794566,535.75,0.226,S,452,0.83,0.97,81.94999999999999,1.378402857310165,0.24991175698355753,0.18130530973451325
WO,CT,U,3,A,289.40597668653584,419.75,0.095,NA,348,12.57,0,59.18000000000001,1.2024630727544687,0.2044878294414065,0.17005747126436782
WO,NT,U,3,A,321.83525534877566,574.75,0.199,NA,455,25.41,0,94.339999999999975,1.4137668028535673,0.29313134105759453,0.2073406593406593
WO,UN,U,3,A,296.49988139390075,420.75,0.175,NA,345,0.13,0.56,75.06,1.1635755076126548,0.25315355826494457,0.21756521739130436
SM,CT,U,1,O,314.7413506414107,623.75,0.388,NA,519,3.41,0.31,101.03000000000009,1.6489730343417892,0.3209937295945108,0.1946628131021196
SM,CT,U,2,O,306.12732349675326,587.75,0.389,NA,479,5.32,0.29,103.13999999999999,1.5647084178197515,0.33691863510214853,0.21532359081419622
SM,CT,U,3,O,287.8858542492433,578.75,0.378,NA,492,2.69,0.07,83.99000000000001,1.7090106816225867,0.29174757550707536,0.17071138211382117
SM,CT,A,1,O,287.37914677014584,559.75,0.376,NA,458,1.75,0.12,99.88,1.5937134101324397,0.34755479345857654,0.2180786026200873
SM,CT,A,2,O,306.12732349675326,598.75,0.39,NA,487,3.77,0.07,107.91000000000003,1.590841335027597,0.35250038698732655,0.22158110882956886
SM,CT,A,3,O,297.0065888729983,577.75,0.392,NA,468,0.82,0.05,108.88,1.5757226187332816,0.36659119386256345,0.23264957264957264
SM,CT,U,1,A,301.0602487057783,608.75,0.388,NA,512,4.4,0.11,92.24000000000001,1.700656271297942,0.3063838563760199,0.18015625000000002
SM,CT,U,2,A,315.24805812050823,602.75,0.389,NA,493,5.21,0.24,104.30000000000001,1.5638478566346743,0.33085057088640274,0.21156186612576067
SM,CT,U,3,A,287.37914677014584,582.75,0.378,NA,495,1.08,0.02,86.65000000000003,1.722463183440082,0.3015180501920872,0.17505050505050512
SM,CT,A,1,A,290.4193916447308,550.75,0.376,NA,454,1.59,0.24,94.92000000000002,1.5632564940958793,0.3268376793382839,0.20907488986784145
SM,CT,A,2,A,290.4193916447308,585.75,0.39,NA,477,1.19,0.31,107.25,1.6424523076734239,0.3692935220083327,0.22484276729559746
SM,CT,A,3,A,322.8486703069707,633.75,0.392,NA,517,3.38,0.41,112.96000000000004,1.601369457425445,0.34988528802858476,0.21849129593810454
SM,NT,U,1,O,319.80842543238566,637.75,0.385,NA,539,6.83,0.04,91.88,1.6853839897159186,0.2872969962432256,0.1704638218923933
SM,NT,U,2,O,316.7681805578007,601.75,0.361,NA,499,3.99,0,98.75999999999999,1.5752844844494962,0.3117737388461568,0.19791583166332663
SM,NT,U,3,O,319.80842543238566,595.75,0.382,NA,489,3.96,0.02,102.77000000000004,1.52904039141203,0.32134863195381264,0.21016359918200414
SM,NT,A,1,O,329.4358675352381,612.75,0.361,NA,504,12.38,0.04,96.33000000000004,1.5298880591564294,0.2924089617828153,0.19113095238095246
SM,NT,A,2,O,331.9694049307256,580.75,0.345,NA,479,3.84,0.01,97.90000000000003,1.442904053462265,0.29490669485168225,0.2043841336116911
SM,NT,A,3,O,342.6102619917731,630.75,0.367,NA,521,1.55,0.09,108.11000000000001,1.520678326945474,0.3155480497621405,0.20750479846449138
SM,NT,U,1,A,318.2883029950932,617.75,0.385,NA,513,5.92,0.11,98.72000000000003,1.611746316696748,0.3101590572793431,0.19243664717348935
SM,NT,U,2,A,319.80842543238566,579.75,0.361,NA,473,4.8,0.22,101.72999999999996,1.4790104399547856,0.3180966851090915,0.2150739957716701
SM,NT,U,3,A,317.2748880368982,592.75,0.382,NA,483,0.14,0.01,109.60000000000002,1.5223392024137392,0.34544177346696864,0.22691511387163565
SM,NT,A,1,A,314.2346431623132,583.75,0.361,NA,478,7.47,0.02,98.25999999999999,1.521156277327119,0.3126962673852776,0.20556485355648535
SM,NT,A,2,A,321.83525534877566,567.75,0.345,NA,464,2.42,0,101.32999999999998,1.4417314209319896,0.31485052776516914,0.21838362068965514
SM,NT,A,3,A,331.9694049307256,608.75,0.367,NA,508,3.75,0,97,1.5302615013754293,0.29219560164058395,0.19094488188976377
SM,UN,U,1,O,317.2748880368982,604.75,0.353,NA,503,3.14,1.78,96.83000000000004,1.5853760223894635,0.3051927639124688,0.1925049701789265
SM,UN,U,2,O,317.2748880368982,541.75,0.317,NA,445,11.2,6.38,79.17000000000002,1.4025692444598634,0.24953125187390426,0.17791011235955057
SM,UN,U,3,O,313.7279356832157,533.75,0.299,NA,408,6.89,1.92,116.94,1.3004898626941999,0.37274334446926405,0.28661764705882353
SM,UN,U,1,A,322.8486703069707,567.75,0.353,NA,464,2.04,1.75,99.95999999999998,1.4372058573412116,0.3096187446116972,0.2154310344827586
SM,UN,U,2,A,318.7950104741907,603.75,0.317,NA,500,15.52,2.62,85.61000000000001,1.5684059774219066,0.26854247145417887,0.17122
SM,UN,U,3,A,305.11390853855823,470.75,0.299,NA,359,31.07,3.14,77.54000000000002,1.1766097511566962,0.25413459639189484,0.21598885793871872
